Index	CID_stereo	InChIKey	SMILES
117	2585	OGHNVEJMJSYVRP-UHFFFAOYSA-N	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
118	2610	BOEGTKLJZSQCCD-UHFFFAOYSA-N	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
119	2617	MLYYVTUWGNIJIB-UHFFFAOYSA-M	CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-]
120	2662	RZEKVGVHFLEQIL-UHFFFAOYSA-N	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
121	2663	JOATXPAWOHTVSZ-UHFFFAOYSA-N	CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
122	2678	ZKLPARSLTMPFCP-UHFFFAOYSA-N	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
123	2708	JCKYGMPEJWAADB-UHFFFAOYSA-N	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
124	2712	BUCORZSTKDOEKQ-UHFFFAOYSA-N	CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
125	2719	WHTVZRBIWZFKQO-UHFFFAOYSA-N	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
126	2720	JBMKAUGHUNFTOL-UHFFFAOYSA-N	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
127	2725	SOYKEARSMXGVTM-UHFFFAOYSA-N	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
128	2726	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
129	2727	RKWGIWYCVPQPMF-UHFFFAOYSA-N	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
130	2732	JIVPVXMEBJLZRO-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
131	2733	TZFWDZFKRBELIQ-UHFFFAOYSA-N	C1=CC2=C(C=C1Cl)NC(=O)O2
132	2749	SCKYRAXSEDYPSA-UHFFFAOYSA-N	CC1=CC(=O)N(C(=C1)C2CCCCC2)O
133	2754	RRGUKTPIGVIEKM-UHFFFAOYSA-N	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
134	2756	AQIXAKUUQRKLND-UHFFFAOYSA-N	CC1=C(N=CN1)CSCCNC(=NC)NC#N
135	2762	VDUWPHTZYNWKRN-UHFFFAOYSA-N	CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
136	2764	MYSWGUAQZAJSOK-UHFFFAOYSA-N	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
137	2767	DQLATGHUWYMOKM-UHFFFAOYSA-L	[NH2-].[NH2-].Cl[Pt+2]Cl
138	2771	WSEQXVZVJXJVFP-UHFFFAOYSA-N	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
